ludas koncerto;La muzikisto ___ la gitaron dum la ___. @The musician plays the guitar during the concert.
kuiras por;La kuiristo ___ paston ___ la vespermanĝo. @The chef cooks pasta for the evening meal.
lernas matematikon;La studento ___ ___ en la lernejo. @The student learns mathematics in the school.
kantas kafejo;La kantisto ___ en la ___. @The singer sings in the cafe.
legas libro;Ŝi ___ la ___ dum la pluvo. @She reads the book during the rain.
kuras parko;Li ___ en la ___. @He runs in the park.
manĝas pomo;La infano ___ la ___. @The child eats the apple.
astronomo en;La ___ observas stelojn per teleskopo ___ klara nokto. @The astronomer observes the stars through a telescope on a clear night.
kaj historion;La instruisto parolas, ___ la studentoj lernas ___ en la klasĉambro. @The teacher speaks, and the students learn history in the classroom.
Mia ĉe;___ patrino aĉetas legomojn ___ la lokaj merkato por prepari vespermanĝon. @My mother buys vegetables at the local market to prepare dinner.
futbalon kun;La infanoj ludas ___ ekster la domo ___ siaj amikoj. @The children play soccer outside the house with their friends.
promenas dum;Ni ___ ĉirkaŭ la lago ___ la sunsubiro. @We walk around the lake during the sunset.
taso;Ŝi verŝas teon en la ___. @She pours tea into the cup.
biciklo;Li veturas al la laborejo per ___. @He rides to work on a bicycle.
rano;La ___ saltas en la lageton. @The frog jumps into the pond.
trajno;Ni vojaĝas al Parizo per ___. @We travel to Paris by train.
suno;La ___ brilas sur la maro. @The sun shines on the sea.
floroj;La ĝardeno estas plena da ___. @The garden is full of flowers.
ĉapelo;La viro portas ___ ĉar la suno brilas. @The man wears a hat because the sun is shining.
bildo;Ŝi pentras ___ de la pejzaĝo. @She paints a picture of the landscape.
fruktoj;Mi aĉetas ___ ĉe la merkato. @I buy fruits at the market.
kato;La ___ dormas sur la sofo. @The cat sleeps on the sofa.
botelo;Mi aĉetas akvon en plastika ___ por la pikniko. @I buy water in a plastic bottle for the picnic.
aktoro;La ___ prenas paŭzon dum la teatra repetaĵo. @The actor takes a break during the theatrical rehearsal.
ĉokolado;Ŝi manĝas ___ kaj trinkas teon dum ŝi studas. @She eats chocolate and drinks tea while she studies.
sporto;La teamo trejnas serioze por la venonta ___ evento. @The team trains seriously for the upcoming sports event.
senĉesa, diskutis, oficejo;La ___ ___ la novan projekton ___ ___ . @The team discussed the new project continuously in the office.
vetero, pluvas, parapluo;Pro la malbona ___, kiam ___ , mi prenas mian ___ . @Because of the bad weather, when it rains, I take my umbrella.
pikniko, panon, fruktojn;Por la ___, mi kunportas ___ kaj ___ . @For the picnic, I bring bread and fruits.
vespero, restoracio, manĝis;En la ___, ni iris al la ___ kaj ___ bonguste. @In the evening, we went to the restaurant and ate deliciously.
muziko, aŭskultas, ĉambro;La ___ estas tiel alta, ke oni ___ ĝin en la tuta ___. @The music is so loud that one can hear it throughout the room.
biblioteko, studentoj, studas;En la ___, la ___ ___ por la ekzameno. @In the library, the students study for the exam.
sporto, ludas, tenison;Li estas amatora de ___, ĉefe li ___ ___. @He is a fan of sports, mainly he plays tennis.
urbo, amikoj, renkontiĝis;En la centra ___, ni ___ kun la ___ . @In the central city, we met with friends.
ferio, vojaĝis, Eŭropo;Dum la ___, ni ___ tra ___. @During the holiday, we traveled through Europe.
filmo, aktoro, rolo;La nova ___ havas faman ___ en la ĉefa ___. @The new film features a famous actor in the leading role.
detektivo, murdo, suspektoj;La ___ enkalkulis plurajn ___ en sia enketo pri la ___. @The detective included several suspects in his inquiry about the murder.
amoro, romano, ĉefrolulino;La ___ en la ___ estas komplika, kaj la ___ estas konfuzita. @The love in the novel is complicated, and the protagonist is confused.
monstro, insulo, kapitano;La ___ estas kaŝita en la ___ kaj estas ĉasata de la ___. @The monster is hidden on the island and is hunted by the captain.
fantazio, reĝo, magio;La ___ romano temas pri ___ kiu uzas ___. @The fantasy novel is about a king who uses magic.
spiono, sekretoj, misio;La ___ estas sendita por kolekti ___ dum riska ___. @The spy is sent to collect secrets during a risky mission.
vojaĝo, universo, planedo;La ___ tra la ___ alvenas finfine al nekonata ___. @The journey through the universe finally arrives at an unknown planet.
revolucio, ribelantoj, registaro;La ___ en la rakonto implikas ___ kontraŭ la ___. @The revolution in the story involves rebels against the government.
vampiro, amikino, nokto;La ___ romano priskribas la rilaton inter ___ kaj lia ___. @The vampire novel describes the relationship between him and his girlfriend.
teknologio, futuro, konflikto;La ___ en la romano spegulas ___ mondojn kaj ___. @The technology in the novel reflects future worlds and conflicts.
priskribas, kompleksa, faliĝis;La romano ___ la ___ rilato kiu ___ aparte. @The novel describes the complex relationship that fell apart.
renkontas, subite, foriras;La ĉefrolulino ___ sian amon kaj ___ ŝanĝiĝas antaŭ ol li ___. @The protagonist meets her love and suddenly changes before he leaves.
estis, ŝajnis, malkovris;La enigmo ___ malfacila sed ___ pli simpla post kiam ili ___ la veron. @The mystery was difficult but seemed simpler after they discovered the truth.
finas, tamen, vivas;La rakonto ___ triste, ___ la mesaĝo daŭre ___. @The story ends sadly, yet the message still lives on.
devis, forlasis, turni;La heroo ___ trairi grandajn defiojn kaj ___ siajn amikojn por ___ la sorton. @The hero had to go through great challenges and left his friends to change fate.
decidis, ĉesas, pluiras;Li ___ resti en la komunumo, do la batalado ___ kaj la vivo ___. @He decided to stay in the community, so the fighting stops and life continues.
estas, eble, solvi;La enigmo ___ tiel komplika, ke nur unu persono ___ ___ ĝin. @The mystery is so complicated that only one person may solve it.
ludi, ĉielo;Infanoj ___ kun sablo sub blua ___ . @Children play with sand under a blue sky.
muziko, festo;La ___ estas laŭta kaj la ___ estas en plena svingo. @The music is loud and the party is in full swing.
filmo, popcorno;Ni rigardis la ___ kaj manĝis ___ kun amikoj. @We watched the movie and ate popcorn with friends.
ŝercas, ridas;Li ___ pri la situacio kaj ĉiuj ___ kun li. @He jokes about the situation and everyone laughs with him.
sportas, energio;Ni ___ ĉiun tagon por konservi ___ kaj sanon. @We exercise every day to maintain energy and health.
vojaĝo, fotoj;Nia lasta ___ estis fantastika, kaj ni faris multajn ___ . @Our last trip was fantastic, and we took many photos.
danco, ĝojo;La ___ estis plezura kaj plena de ___ . @The dance was enjoyable and full of joy.
amuzas, komiksoj;La libroj ___ min, precipe la ___ . @The books entertain me, especially the comics.
kuiras, recepto;Mi ___ por amuzo kaj provas novajn ___ . @I cook for fun and try new recipes.
kantas, talento;Ŝi ___ bone, kaj ĉiuj admiras ŝian ___ . @She sings well, and everyone admires her talent.
diras, ĉar;Li ___ ke li ne povas veni, ___ li estas okupita. @He says he can't come because he's busy.
parolas, sur;Ŝi ___ telefone ___ negocoj ĉiutage. @She talks on the phone about business every day.
komunikas, per;Ili ___ ___ retpoŝto por plani la renkontiĝon. @They communicate via email to plan the meeting.
diskutas, pri;Ni ___ ___ politiko dum la vespermanĝo. @We discuss politics during dinner.
rakontas, al;La avo ___ historiojn ___ la infanoj. @The grandfather tells stories to the children.
respondas, kiam;Li ne ___ ___ oni demandas lin. @He doesn't answer when someone asks him.
mencias, en;Ŝi ___ la novajn ŝanĝojn ___ la raporto. @She mentions the new changes in the report.
kredas, sed;Ili ___ min, ___ ili havas dubojn. @They believe me, but they have doubts.
estas, de, kun;Tiu vazo ___ ekzemplo ___ antikva keramiko, ___ belaj desegnoj. @That vase is an example of ancient pottery, with beautiful designs.
estas, en, ĉar;La templo ___ unu el la plej gravaj ___ la areo, ___ ĝi estas tre malnova. @The temple is one of the most important in the area, because it is very old.
rigardas, kiam, tra;Ŝi ___ la antikvajn manuskriptojn ___ li pasas ___ la paĝoj. @She looks at the ancient manuscripts when he flips through the pages.
faras, el, estas;La freskoj ___ detala raporto ___ kio ___ la vivo tiam. @The frescoes make a detailed report of what life was like back then.
dubas, pri;Mi ___ ___ la efikeco de tiu plano. @I doubt the effectiveness of that plan.
komprenas, sen;Ŝi ne ___ la koncepton ___ klarigo. @She doesn't understand the concept without an explanation.
decidis, jam;Li ___ ___ foriri. @He already decided to leave.
imagas, en;Mi ___ min ___ alia loko. @I imagine myself in another place.
opinias, ke;Ni ___ ___ tio estas bona ideo. @We think that is a good idea.
ĉu, novaĵon;Mi ne scias ___ vi aŭdis la ___. @I don't know if you heard the news.
dubas, efikeco;Mi ___ pri la ___ de tiu plano. @I doubt the effectiveness of that plan.
komprenas, klarigo;Ŝi ne ___ la koncepton sen ___. @She doesn't understand the concept without an explanation.
imagas, loko;Mi ___ min en alia ___. @I imagine myself in another place.
malfeliĉa, rezultoj;Ŝi sentas sin ___ pro la ___. @She feels unhappy because of the results.
bone, sed;Ŝi kredas ke ĉio iĝos ___, ___ ŝi ne certas. @She believes everything will be fine, but she is not sure.
post, memoras;Li ___ la aferon nur ___ du jaroj. @He remembers the incident only after two years.
opinias, ideo;Ni ___ ke tio estas bona ___. @We think that is a good idea.
jam, decidis;Li ___ foriri. @He already ___ to leave.
tempo, pripensas;Li ___ dum longa ___ por trovi solvon. @He thinks for a long time to find a solution.
kiom, kosto;Mi demandas ___ estos la ___ de la aŭto. @I ask how much will be the cost of the car.
mateno, fruas;La ___ venas, kaj la birdoj ___ kantas. @Morning comes, and the birds sing early.
vintro, malvarmas;Durante la ___, ĉio ___ eksterdomo. @During winter, everything gets cold outdoors.
rapidas, trajno;La ___ trans la ponto. @The train rushes across the bridge.
skribas, mesaĝo;Ŝi ___ al sia amiko unu ___. @She writes a message to her friend.
universitato, lernas;En la ___, studentoj ___ diversajn fakojn. @In the university, students learn various subjects.
estas, infanoj;Ĉi tie ___ multaj ___. @There are many children here.
kolora, birdo;Tiu ___ ___ kantas bele. @That colorful bird sings beautifully.
aĝo, pliiĝas;Kiam la ___ ___, la sperto kreskas. @As age increases, experience grows.
venas, vespero;Kiam la suno subiras, la ___ ___. @When the sun sets, evening comes.
libroj, ŝranko;La ___ estas metitaj en la granda ___. @The books are placed in the large cabinet.
kafon, legas;Li trinkas ___ dum li ___ la ĵurnalon. @He drinks coffee while he reads the newspaper.
amikoj, venis;Miaj ___ ___ por festi mian naskiĝtagon. @My friends came to celebrate my birthday.
timas, ĉielo;La infanoj ___ kiam ili vidas nubojn en la ___. @The children get scared when they see clouds in the sky.
flugas, maro;La birdoj ___ super la granda ___. @The birds fly over the big sea.
teatro, spektaklo;La ___ estas plena pro la nova ___. @The theater is full because of the new show.
hundoj, dormas;La ___ ___ sur la varma tapiŝo. @The dogs sleep on the warm rug.
vidas, arbo;Mi ___ belajn florojn sub la ___. @I see beautiful flowers under the tree.
aĉetas, vendas;Ŝi ___ panon ĉe la butiko kiu ___ fruktojn ankaŭ. @She buys bread at the store that also sells fruits.
studentoj, klaso;La ___ laboras serioze en la ___. @The students work seriously in the class.
antikvaj, civilizacio, monumentoj;La ___ ___ havas multajn famajn ___. @The ancient civilization has many famous monuments.
lingvoj, parolataj, mondo;Estas multaj ___ ___ tra la ___. @There are many languages spoken throughout the world.
turniro, ludantoj, venas;La granda ___ invitas ___ kiuj ___ el diversaj landoj. @The big tournament invites players who come from various countries.
festivalo, artistoj, kantos;En la internacia ___, pluraj ___ ___ popularajn kanzonojn. @In the international festival, several artists will sing popular songs.
muziko, unuigas, homojn;La povo de ___ ___ ___ el malsamaj kulturoj. @The power of music unites people from different cultures.
vojaĝas, landojn, konas;Mi ___ al diversaj ___ kaj ___ novajn amikojn. @I travel to various countries and meet new friends.
kuirarto, influas, kulturo;La lokaj tradicioj ___ la ___ de la regiono. @Local traditions influence the cuisine of the region.
politiko, afekto, vivon;Decidoj en la ___ havas grandan ___ sur nian ___. @Decisions in politics have a significant impact on our lives.
biblioteko, kolektas, dokumentojn;La nacia ___ ___ rarajn ___ kaj skribaĵojn. @The national library collects rare documents and writings.
tradicioj, varias, lando;La festaj ___ ___ de ___ al lando. @The holiday traditions vary from country to country.