kiu;who/which person
kio;what thing
kia;what kind of
kie;where
kiel;how
kial;why
kiam;when
kiom;how much/how many
kies;whose
tiu;that person
tio;that thing
tia;that kind of
tie;there/here
tiel;thus/like that
tial;therefore/for that reason
tiam;then/at that time
tiom;that much/that many
ties;of that one/of those
iu;somebody/anybody
io;something/anything
ia;some kind of/any kind of
ie;somewhere/anywhere
iel;somehow/anyhow
ial;for some reason/for any reason
iam;sometime/anytime
iom;some amount/any amount
ies;someone's/anyone's
neniu;nobody/no one
nenio;nothing
nenia;no kind of
nenie;nowhere
neniel;in no way
nenial;for no reason
neniam;never
neniom;none/not any
nenies;nobody's
ĉiu;everybody/every one
ĉio;everything
ĉia;every kind of
ĉie;everywhere
ĉiel;in every way
ĉial;for every reason
ĉiam;always
ĉiom;all/every amount
ĉies;everyone's