La aŭstra kulturo estas ĉial ; interesa kaj riĉa.
En la raporto oni priskribis la ; teruron, kiu regis dum la periodo de konflikto.
Ni devis voki la oficialan helpon en Ĉilio ; por solvi la enigmon.
La juna knabino gratulis al sia amiko ; per varma koro.
La raporto en la ĵurnalo estis ; oficiala kaj preciza.
Li ordonis la teruron, sed lia ; animo ploris internen.
Dum la solena ceremonio en Parizo, ; oni uzis multajn vortojn por esprimi la honoron.
Mi manĝis delikatan manĝon, sed poste ; havis stomakan doloron.
Li havis specialan komprenon pri ĉio, kio ; rilatas al teknikaĵoj.
La juna artisto ĉiam sentis grandan animon ; por krei belajn verkojn.
Mi ne povis solvi la enigmon, sed ; fine mi trovis la ŝlosilon.
Ni prezentis nian oficialan projekton en ; la aŭstra ĵurnalo.
Li estis tre juna, sed li havis ; grandan komprenon pri filozofiaj demandoj.
La teruro de la milito forlasis profundan ; spuron en lia animo.
Ĉio, kion li faris, estis kun sincera ; intenco helpi al la homoj.
La aŭstra kuiristo preparis specialan kukon ; dum la solena festo.
Dum la lasta periodo, mi loĝis en Ĉilio ; kaj legis la ĵurnalon ĉiutage.
La raporto pri la nova maŝino ; estis en la ĵurnalo antaŭ kelkaj tagoj.
Lia teruro kondukis lin al granda ; malkontenteco kaj malĝojo.
La juna knabino havis la animon de esploristo ; kaj ĉiam volis kompreni la naturon.
La aŭstra flago ; havas kvin stelojn.
Ni havis solenan feston ; en Parizo.
Mi sentas nevon da teruro ; antaŭ la enigmo.
Li raportis pri ĉio ; en la oficiala ĵurnalo.
Ŝi gratulis al li ; kun sincera animo.
La juna viro komprenis la ; komplikan aŭstran vorton.
La teruro daŭris dum la ; tuta periodo.
Mi ŝatis kolekti ; agarikojn en Ĉilio.
La aŭstra maŝino funkcias ; ĉial.
La solena ceremonio ; okazis en la oficiala ĉambro.
Li ordonis al ŝi ; preni la kulerojn el la ŝtupo.
La juna knabo havis ; grandan animon kaj komprenon.
Dum la lasta periodo, ni ; legis ĵurnalon el Tanzanio.
Mi estis ĉiam interesita ; pri raporti novajn aferojn.
Ŝiaj teruro kaj nevo ; estas aĉaj memorigoj.
Ni planas viziti la ; oficialan aŭstran reprezentanton en Ĉilio.
La knabo havis ordonon prezenti la ; raporton en la oficiala ĵurnalo.
Ŝi havis agrablan ; vorton por ĉial situacio.
Dum la solena evento en Parizo, ni ; ricevis novan komprenon.
Lia animo estis plena ; de juna entuziasmo, sed li ankaŭ havis seriozajn intencojn.